-2 -0.995322
-1.96 -0.994426
-1.92 -0.993378
-1.88 -0.992156
-1.84 -0.990736
-1.8 -0.989091
-1.76 -0.98719
-1.72 -0.985003
-1.68 -0.982493
-1.64 -0.979622
-1.6 -0.976348
-1.56 -0.972628
-1.52 -0.968413
-1.48 -0.963654
-1.44 -0.958297
-1.4 -0.952285
-1.36 -0.945561
-1.32 -0.938065
-1.28 -0.929734
-1.24 -0.920505
-1.2 -0.910314
-1.16 -0.899096
-1.12 -0.886788
-1.08 -0.873326
-1.04 -0.85865
-1 -0.842701
-0.96 -0.825424
-0.92 -0.806768
-0.88 -0.786687
-0.84 -0.765143
-0.8 -0.742101
-0.76 -0.717537
-0.72 -0.691433
-0.68 -0.663782
-0.64 -0.634586
-0.6 -0.603856
-0.56 -0.571616
-0.52 -0.537899
-0.48 -0.50275
-0.44 -0.466225
-0.4 -0.428392
-0.36 -0.38933
-0.32 -0.349126
-0.28 -0.30788
-0.24 -0.2657
-0.2 -0.222703
-0.16 -0.179012
-0.12 -0.134758
-0.08 -0.0900781
-0.04 -0.0451111
0 0
0.04 0.0451111
0.08 0.0900781
0.12 0.134758
0.16 0.179012
0.2 0.222703
0.24 0.2657
0.28 0.30788
0.32 0.349126
0.36 0.38933
0.4 0.428392
0.44 0.466225
0.48 0.50275
0.52 0.537899
0.56 0.571616
0.6 0.603856
0.64 0.634586
0.68 0.663782
0.72 0.691433
0.76 0.717537
0.8 0.742101
0.84 0.765143
0.88 0.786687
0.92 0.806768
0.96 0.825424
1 0.842701
1.04 0.85865
1.08 0.873326
1.12 0.886788
1.16 0.899096
1.2 0.910314
1.24 0.920505
1.28 0.929734
1.32 0.938065
1.36 0.945561
1.4 0.952285
1.44 0.958297
1.48 0.963654
1.52 0.968413
1.56 0.972628
1.6 0.976348
1.64 0.979622
1.68 0.982493
1.72 0.985003
1.76 0.98719
1.8 0.989091
1.84 0.990736
1.88 0.992156
1.92 0.993378
1.96 0.994426
