"Points:0","Points:1","Points:2","T","U:0","U:1","U:2"
0,0,-0.5,0.95869,0,0,0
0.2,0,-0.5,0.95853,0,0,0
0.4,0,-0.5,0.95802,0,0,0
0.6,0,-0.5,0.95718,0,0,0
0.8,0,-0.5,0.95599,0,0,0
1,0,-0.5,0.95446,0,0,0
1.2,0,-0.5,0.95259,0,0,0
1.4,0,-0.5,0.95037,0,0,0
1.6,0,-0.5,0.94779,0,0,0
1.8,0,-0.5,0.94486,0,0,0
2,0,-0.5,0.94156,0,0,0
2.2,0,-0.5,0.9379,0,0,0
2.4,0,-0.5,0.93386,0,0,0
2.6,0,-0.5,0.92945,0,0,0
2.8,0,-0.5,0.92465,0,0,0
3,0,-0.5,0.91946,0,0,0
3.2,0,-0.5,0.91388,0,0,0
3.4,0,-0.5,0.9079,0,0,0
3.6,0,-0.5,0.90152,0,0,0
3.8,0,-0.5,0.89472,0,0,0
4,0,-0.5,0.88752,0,0,0
4.2,0,-0.5,0.87989,0,0,0
4.4,0,-0.5,0.87185,0,0,0
4.6,0,-0.5,0.86338,0,0,0
4.8,0,-0.5,0.8545,0,0,0
5,0,-0.5,0.84519,0,0,0
5.2,0,-0.5,0.83545,0,0,0
5.4,0,-0.5,0.8253,0,0,0
5.6,0,-0.5,0.81473,0,0,0
5.8,0,-0.5,0.80375,0,0,0
6,0,-0.5,0.79236,0,0,0
6.2,0,-0.5,0.78058,0,0,0
6.4,0,-0.5,0.7684,0,0,0
6.6,0,-0.5,0.75584,0,0,0
6.8,0,-0.5,0.74291,0,0,0
7,0,-0.5,0.72962,0,0,0
7.2,0,-0.5,0.71599,0,0,0
7.4,0,-0.5,0.70203,0,0,0
7.6,0,-0.5,0.68776,0,0,0
7.8,0,-0.5,0.6732,0,0,0
8,0,-0.5,0.65836,0,0,0
8.2,0,-0.5,0.64327,0,0,0
8.4,0,-0.5,0.62795,0,0,0
8.6,0,-0.5,0.61243,0,0,0
8.8,0,-0.5,0.59671,0,0,0
9,0,-0.5,0.58084,0,0,0
9.2,0,-0.5,0.56484,0,0,0
9.4,0,-0.5,0.54872,0,0,0
9.6,0,-0.5,0.53253,0,0,0
9.8,0,-0.5,0.51628,0,0,0
10,0,-0.5,0.5,0,0,0
10.2,0,-0.5,0.48373,0,0,0
10.4,0,-0.5,0.46748,0,0,0
