"Points:0","Points:1","Points:2","T","U:0","U:1","U:2"
0,0,-0.5,0.67647,0,0,0
0.2,0,-0.5,0.67638,0,0,0
0.4,0,-0.5,0.67612,0,0,0
0.6,0,-0.5,0.67569,0,0,0
0.8,0,-0.5,0.67508,0,0,0
1,0,-0.5,0.6743,0,0,0
1.2,0,-0.5,0.67335,0,0,0
1.4,0,-0.5,0.67222,0,0,0
1.6,0,-0.5,0.67093,0,0,0
1.8,0,-0.5,0.66947,0,0,0
2,0,-0.5,0.66784,0,0,0
2.2,0,-0.5,0.66604,0,0,0
2.4,0,-0.5,0.66409,0,0,0
2.6,0,-0.5,0.66196,0,0,0
2.8,0,-0.5,0.65968,0,0,0
3,0,-0.5,0.65725,0,0,0
3.2,0,-0.5,0.65465,0,0,0
3.4,0,-0.5,0.65191,0,0,0
3.6,0,-0.5,0.64901,0,0,0
3.8,0,-0.5,0.64597,0,0,0
4,0,-0.5,0.64278,0,0,0
4.2,0,-0.5,0.63945,0,0,0
4.4,0,-0.5,0.63599,0,0,0
4.6,0,-0.5,0.63239,0,0,0
4.8,0,-0.5,0.62865,0,0,0
5,0,-0.5,0.6248,0,0,0
5.2,0,-0.5,0.62082,0,0,0
5.4,0,-0.5,0.61672,0,0,0
5.6,0,-0.5,0.6125,0,0,0
5.8,0,-0.5,0.60817,0,0,0
6,0,-0.5,0.60374,0,0,0
6.2,0,-0.5,0.5992,0,0,0
6.4,0,-0.5,0.59457,0,0,0
6.6,0,-0.5,0.58984,0,0,0
6.8,0,-0.5,0.58503,0,0,0
7,0,-0.5,0.58013,0,0,0
7.2,0,-0.5,0.57515,0,0,0
7.4,0,-0.5,0.5701,0,0,0
7.6,0,-0.5,0.56497,0,0,0
7.8,0,-0.5,0.55979,0,0,0
8,0,-0.5,0.55454,0,0,0
8.2,0,-0.5,0.54924,0,0,0
8.4,0,-0.5,0.54389,0,0,0
8.6,0,-0.5,0.5385,0,0,0
8.8,0,-0.5,0.53307,0,0,0
9,0,-0.5,0.52761,0,0,0
9.2,0,-0.5,0.52212,0,0,0
9.4,0,-0.5,0.51661,0,0,0
9.6,0,-0.5,0.51109,0,0,0
9.8,0,-0.5,0.50555,0,0,0
10,0,-0.5,0.5,0,0,0
10.2,0,-0.5,0.49446,0,0,0
10.4,0,-0.5,0.48892,0,0,0
10.6,0,-0.5,0.48339,0,0,0
10.8,0,-0.5,0.47788,0,0,0
11,0,-0.5,0.47239,0,0,0
11.2,0,-0.5,0.46693,0,0,0
11.4,0,-0.5,0.4615,0,0,0
11.6,0,-0.5,0.45611,0,0,0
11.8,0,-0.5,0.45076,0,0,0
12,0,-0.5,0.44546,0,0,0
12.2,0,-0.5,0.44022,0,0,0
12.4,0,-0.5,0.43503,0,0,0
12.6,0,-0.5,0.42991,0,0,0
12.8,0,-0.5,0.42486,0,0,0
13,0,-0.5,0.41988,0,0,0
13.2,0,-0.5,0.41498,0,0,0
13.4,0,-0.5,0.41016,0,0,0
13.6,0,-0.5,0.40544,0,0,0
13.8,0,-0.5,0.4008,0,0,0
14,0,-0.5,0.39627,0,0,0
14.2,0,-0.5,0.39183,0,0,0
14.4,0,-0.5,0.38751,0,0,0
14.6,0,-0.5,0.38329,0,0,0
14.8,0,-0.5,0.37919,0,0,0
15,0,-0.5,0.37521,0,0,0
15.2,0,-0.5,0.37135,0,0,0
15.4,0,-0.5,0.36762,0,0,0
15.6,0,-0.5,0.36402,0,0,0
15.8,0,-0.5,0.36056,0,0,0
16,0,-0.5,0.35723,0,0,0
16.2,0,-0.5,0.35404,0,0,0
16.4,0,-0.5,0.351,0,0,0
16.6,0,-0.5,0.3481,0,0,0
16.8,0,-0.5,0.34536,0,0,0
17,0,-0.5,0.34276,0,0,0
17.2,0,-0.5,0.34032,0,0,0
17.4,0,-0.5,0.33804,0,0,0
17.6,0,-0.5,0.33592,0,0,0
17.8,0,-0.5,0.33396,0,0,0
18,0,-0.5,0.33217,0,0,0
18.2,0,-0.5,0.33054,0,0,0
18.4,0,-0.5,0.32908,0,0,0
18.6,0,-0.5,0.32779,0,0,0
18.8,0,-0.5,0.32666,0,0,0
19,0,-0.5,0.32571,0,0,0
19.2,0,-0.5,0.32493,0,0,0
19.4,0,-0.5,0.32432,0,0,0
19.6,0,-0.5,0.32389,0,0,0
19.8,0,-0.5,0.32363,0,0,0
20,0,-0.5,0.32354,0,0,0
0,0.2,-0.5,0.67647,0,0,0
0.2,0.2,-0.5,0.67638,0,0,0
0.4,0.2,-0.5,0.67612,0,0,0
0.6,0.2,-0.5,0.67569,0,0,0
0.8,0.2,-0.5,0.67508,0,0,0
1,0.2,-0.5,0.6743,0,0,0
1.2,0.2,-0.5,0.67335,0,0,0
1.4,0.2,-0.5,0.67222,0,0,0
1.6,0.2,-0.5,0.67093,0,0,0
1.8,0.2,-0.5,0.66947,0,0,0
2,0.2,-0.5,0.66784,0,0,0
2.2,0.2,-0.5,0.66604,0,0,0
2.4,0.2,-0.5,0.66409,0,0,0
2.6,0.2,-0.5,0.66197,0,0,0
2.8,0.2,-0.5,0.65968,0,0,0
3,0.2,-0.5,0.65725,0,0,0
3.2,0.2,-0.5,0.65465,0,0,0
3.4,0.2,-0.5,0.65191,0,0,0
3.6,0.2,-0.5,0.64901,0,0,0
3.8,0.2,-0.5,0.64597,0,0,0
4,0.2,-0.5,0.64278,0,0,0
4.2,0.2,-0.5,0.63945,0,0,0
4.4,0.2,-0.5,0.63599,0,0,0
4.6,0.2,-0.5,0.63239,0,0,0
4.8,0.2,-0.5,0.62865,0,0,0
5,0.2,-0.5,0.6248,0,0,0
5.2,0.2,-0.5,0.62082,0,0,0
5.4,0.2,-0.5,0.61672,0,0,0
5.6,0.2,-0.5,0.6125,0,0,0
5.8,0.2,-0.5,0.60817,0,0,0
6,0.2,-0.5,0.60374,0,0,0
6.2,0.2,-0.5,0.5992,0,0,0
6.4,0.2,-0.5,0.59457,0,0,0
6.6,0.2,-0.5,0.58984,0,0,0
6.8,0.2,-0.5,0.58503,0,0,0
7,0.2,-0.5,0.58013,0,0,0
7.2,0.2,-0.5,0.57515,0,0,0
7.4,0.2,-0.5,0.5701,0,0,0
7.6,0.2,-0.5,0.56497,0,0,0
7.8,0.2,-0.5,0.55979,0,0,0
8,0.2,-0.5,0.55454,0,0,0
8.2,0.2,-0.5,0.54924,0,0,0
8.4,0.2,-0.5,0.5439,0,0,0
8.6,0.2,-0.5,0.5385,0,0,0
8.8,0.2,-0.5,0.53307,0,0,0
9,0.2,-0.5,0.52761,0,0,0
9.2,0.2,-0.5,0.52212,0,0,0
9.4,0.2,-0.5,0.51661,0,0,0
9.6,0.2,-0.5,0.51109,0,0,0
9.8,0.2,-0.5,0.50555,0,0,0
10,0.2,-0.5,0.5,0,0,0
10.2,0.2,-0.5,0.49446,0,0,0
10.4,0.2,-0.5,0.48892,0,0,0
10.6,0.2,-0.5,0.48339,0,0,0
10.8,0.2,-0.5,0.47788,0,0,0
11,0.2,-0.5,0.47239,0,0,0
11.2,0.2,-0.5,0.46693,0,0,0
11.4,0.2,-0.5,0.4615,0,0,0
11.6,0.2,-0.5,0.45611,0,0,0
11.8,0.2,-0.5,0.45076,0,0,0
12,0.2,-0.5,0.44546,0,0,0
12.2,0.2,-0.5,0.44022,0,0,0
12.4,0.2,-0.5,0.43503,0,0,0
12.6,0.2,-0.5,0.42991,0,0,0
12.8,0.2,-0.5,0.42486,0,0,0
13,0.2,-0.5,0.41988,0,0,0
13.2,0.2,-0.5,0.41498,0,0,0
13.4,0.2,-0.5,0.41016,0,0,0
13.6,0.2,-0.5,0.40544,0,0,0
13.8,0.2,-0.5,0.4008,0,0,0
14,0.2,-0.5,0.39627,0,0,0
14.2,0.2,-0.5,0.39183,0,0,0
14.4,0.2,-0.5,0.38751,0,0,0
14.6,0.2,-0.5,0.38329,0,0,0
14.8,0.2,-0.5,0.37919,0,0,0
15,0.2,-0.5,0.37521,0,0,0
15.2,0.2,-0.5,0.37135,0,0,0
15.4,0.2,-0.5,0.36762,0,0,0
15.6,0.2,-0.5,0.36402,0,0,0
15.8,0.2,-0.5,0.36056,0,0,0
16,0.2,-0.5,0.35723,0,0,0
16.2,0.2,-0.5,0.35404,0,0,0
16.4,0.2,-0.5,0.351,0,0,0
16.6,0.2,-0.5,0.3481,0,0,0
16.8,0.2,-0.5,0.34536,0,0,0
17,0.2,-0.5,0.34276,0,0,0
17.2,0.2,-0.5,0.34032,0,0,0
17.4,0.2,-0.5,0.33804,0,0,0
17.6,0.2,-0.5,0.33592,0,0,0
17.8,0.2,-0.5,0.33396,0,0,0
18,0.2,-0.5,0.33217,0,0,0
18.2,0.2,-0.5,0.33054,0,0,0
18.4,0.2,-0.5,0.32908,0,0,0
18.6,0.2,-0.5,0.32779,0,0,0
18.8,0.2,-0.5,0.32666,0,0,0
19,0.2,-0.5,0.32571,0,0,0
19.2,0.2,-0.5,0.32493,0,0,0
19.4,0.2,-0.5,0.32432,0,0,0
19.6,0.2,-0.5,0.32389,0,0,0
19.8,0.2,-0.5,0.32363,0,0,0
20,0.2,-0.5,0.32354,0,0,0
0,0.4,-0.5,0.67647,0,0,0
0.2,0.4,-0.5,0.67638,0,0,0
0.4,0.4,-0.5,0.67612,0,0,0
0.6,0.4,-0.5,0.67569,0,0,0
0.8,0.4,-0.5,0.67508,0,0,0
1,0.4,-0.5,0.6743,0,0,0
1.2,0.4,-0.5,0.67335,0,0,0
1.4,0.4,-0.5,0.67222,0,0,0
1.6,0.4,-0.5,0.67093,0,0,0
1.8,0.4,-0.5,0.66947,0,0,0
2,0.4,-0.5,0.66784,0,0,0
2.2,0.4,-0.5,0.66605,0,0,0
2.4,0.4,-0.5,0.66409,0,0,0
2.6,0.4,-0.5,0.66197,0,0,0
2.8,0.4,-0.5,0.65968,0,0,0
3,0.4,-0.5,0.65725,0,0,0
3.2,0.4,-0.5,0.65465,0,0,0
3.4,0.4,-0.5,0.65191,0,0,0
3.6,0.4,-0.5,0.64901,0,0,0
3.8,0.4,-0.5,0.64597,0,0,0
4,0.4,-0.5,0.64278,0,0,0
4.2,0.4,-0.5,0.63945,0,0,0
4.4,0.4,-0.5,0.63599,0,0,0
4.6,0.4,-0.5,0.63239,0,0,0
4.8,0.4,-0.5,0.62866,0,0,0
5,0.4,-0.5,0.6248,0,0,0
5.2,0.4,-0.5,0.62082,0,0,0
5.4,0.4,-0.5,0.61672,0,0,0
5.6,0.4,-0.5,0.6125,0,0,0
5.8,0.4,-0.5,0.60817,0,0,0
6,0.4,-0.5,0.60374,0,0,0
6.2,0.4,-0.5,0.5992,0,0,0
6.4,0.4,-0.5,0.59457,0,0,0
6.6,0.4,-0.5,0.58984,0,0,0
6.8,0.4,-0.5,0.58503,0,0,0
7,0.4,-0.5,0.58013,0,0,0
7.2,0.4,-0.5,0.57515,0,0,0
7.4,0.4,-0.5,0.5701,0,0,0
7.6,0.4,-0.5,0.56497,0,0,0
7.8,0.4,-0.5,0.55979,0,0,0
8,0.4,-0.5,0.55454,0,0,0
8.2,0.4,-0.5,0.54924,0,0,0
8.4,0.4,-0.5,0.5439,0,0,0
8.6,0.4,-0.5,0.5385,0,0,0
8.8,0.4,-0.5,0.53307,0,0,0
9,0.4,-0.5,0.52761,0,0,0
9.2,0.4,-0.5,0.52212,0,0,0
9.4,0.4,-0.5,0.51661,0,0,0
9.6,0.4,-0.5,0.51109,0,0,0
9.8,0.4,-0.5,0.50555,0,0,0
10,0.4,-0.5,0.5,0,0,0
10.2,0.4,-0.5,0.49446,0,0,0
10.4,0.4,-0.5,0.48892,0,0,0
10.6,0.4,-0.5,0.48339,0,0,0
10.8,0.4,-0.5,0.47788,0,0,0
11,0.4,-0.5,0.47239,0,0,0
11.2,0.4,-0.5,0.46693,0,0,0
11.4,0.4,-0.5,0.4615,0,0,0
11.6,0.4,-0.5,0.45611,0,0,0
11.8,0.4,-0.5,0.45076,0,0,0
12,0.4,-0.5,0.44546,0,0,0
12.2,0.4,-0.5,0.44022,0,0,0
12.4,0.4,-0.5,0.43503,0,0,0
12.6,0.4,-0.5,0.42991,0,0,0
12.8,0.4,-0.5,0.42486,0,0,0
13,0.4,-0.5,0.41988,0,0,0
13.2,0.4,-0.5,0.41498,0,0,0
13.4,0.4,-0.5,0.41016,0,0,0
13.6,0.4,-0.5,0.40544,0,0,0
13.8,0.4,-0.5,0.4008,0,0,0
14,0.4,-0.5,0.39627,0,0,0
14.2,0.4,-0.5,0.39183,0,0,0
14.4,0.4,-0.5,0.38751,0,0,0
14.6,0.4,-0.5,0.38329,0,0,0
14.8,0.4,-0.5,0.37919,0,0,0
15,0.4,-0.5,0.37521,0,0,0
15.2,0.4,-0.5,0.37135,0,0,0
15.4,0.4,-0.5,0.36762,0,0,0
15.6,0.4,-0.5,0.36402,0,0,0
15.8,0.4,-0.5,0.36056,0,0,0
16,0.4,-0.5,0.35723,0,0,0
16.2,0.4,-0.5,0.35404,0,0,0
16.4,0.4,-0.5,0.351,0,0,0
16.6,0.4,-0.5,0.3481,0,0,0
16.8,0.4,-0.5,0.34535,0,0,0
17,0.4,-0.5,0.34276,0,0,0
17.2,0.4,-0.5,0.34032,0,0,0
17.4,0.4,-0.5,0.33804,0,0,0
17.6,0.4,-0.5,0.33592,0,0,0
17.8,0.4,-0.5,0.33396,0,0,0
18,0.4,-0.5,0.33217,0,0,0
18.2,0.4,-0.5,0.33054,0,0,0
18.4,0.4,-0.5,0.32908,0,0,0
18.6,0.4,-0.5,0.32778,0,0,0
18.8,0.4,-0.5,0.32666,0,0,0
19,0.4,-0.5,0.32571,0,0,0
19.2,0.4,-0.5,0.32493,0,0,0
19.4,0.4,-0.5,0.32432,0,0,0
19.6,0.4,-0.5,0.32389,0,0,0
19.8,0.4,-0.5,0.32363,0,0,0
20,0.4,-0.5,0.32354,0,0,0
0,0.6,-0.5,0.67647,0,0,0
0.2,0.6,-0.5,0.67638,0,0,0
0.4,0.6,-0.5,0.67612,0,0,0
0.6,0.6,-0.5,0.67569,0,0,0
0.8,0.6,-0.5,0.67508,0,0,0
1,0.6,-0.5,0.6743,0,0,0
1.2,0.6,-0.5,0.67335,0,0,0
1.4,0.6,-0.5,0.67223,0,0,0
1.6,0.6,-0.5,0.67093,0,0,0
1.8,0.6,-0.5,0.66947,0,0,0
2,0.6,-0.5,0.66784,0,0,0
2.2,0.6,-0.5,0.66605,0,0,0
2.4,0.6,-0.5,0.66409,0,0,0
2.6,0.6,-0.5,0.66197,0,0,0
2.8,0.6,-0.5,0.65969,0,0,0
3,0.6,-0.5,0.65725,0,0,0
3.2,0.6,-0.5,0.65465,0,0,0
3.4,0.6,-0.5,0.65191,0,0,0
3.6,0.6,-0.5,0.64901,0,0,0
3.8,0.6,-0.5,0.64597,0,0,0
4,0.6,-0.5,0.64278,0,0,0
4.2,0.6,-0.5,0.63945,0,0,0
4.4,0.6,-0.5,0.63599,0,0,0
4.6,0.6,-0.5,0.63239,0,0,0
4.8,0.6,-0.5,0.62866,0,0,0
5,0.6,-0.5,0.6248,0,0,0
5.2,0.6,-0.5,0.62082,0,0,0
5.4,0.6,-0.5,0.61672,0,0,0
5.6,0.6,-0.5,0.6125,0,0,0
5.8,0.6,-0.5,0.60817,0,0,0
6,0.6,-0.5,0.60374,0,0,0
6.2,0.6,-0.5,0.59921,0,0,0
6.4,0.6,-0.5,0.59457,0,0,0
6.6,0.6,-0.5,0.58984,0,0,0
6.8,0.6,-0.5,0.58503,0,0,0
7,0.6,-0.5,0.58013,0,0,0
7.2,0.6,-0.5,0.57515,0,0,0
7.4,0.6,-0.5,0.5701,0,0,0
7.6,0.6,-0.5,0.56497,0,0,0
7.8,0.6,-0.5,0.55979,0,0,0
8,0.6,-0.5,0.55454,0,0,0
8.2,0.6,-0.5,0.54924,0,0,0
8.4,0.6,-0.5,0.5439,0,0,0
8.6,0.6,-0.5,0.5385,0,0,0
8.8,0.6,-0.5,0.53307,0,0,0
9,0.6,-0.5,0.52761,0,0,0
9.2,0.6,-0.5,0.52212,0,0,0
9.4,0.6,-0.5,0.51661,0,0,0
9.6,0.6,-0.5,0.51109,0,0,0
9.8,0.6,-0.5,0.50555,0,0,0
10,0.6,-0.5,0.5,0,0,0
10.2,0.6,-0.5,0.49446,0,0,0
10.4,0.6,-0.5,0.48892,0,0,0
10.6,0.6,-0.5,0.48339,0,0,0
10.8,0.6,-0.5,0.47788,0,0,0
11,0.6,-0.5,0.47239,0,0,0
11.2,0.6,-0.5,0.46693,0,0,0
11.4,0.6,-0.5,0.4615,0,0,0
11.6,0.6,-0.5,0.45611,0,0,0
11.8,0.6,-0.5,0.45076,0,0,0
12,0.6,-0.5,0.44546,0,0,0
12.2,0.6,-0.5,0.44022,0,0,0
12.4,0.6,-0.5,0.43503,0,0,0
12.6,0.6,-0.5,0.42991,0,0,0
12.8,0.6,-0.5,0.42486,0,0,0
13,0.6,-0.5,0.41988,0,0,0
13.2,0.6,-0.5,0.41498,0,0,0
13.4,0.6,-0.5,0.41016,0,0,0
13.6,0.6,-0.5,0.40544,0,0,0
13.8,0.6,-0.5,0.4008,0,0,0
14,0.6,-0.5,0.39627,0,0,0
14.2,0.6,-0.5,0.39183,0,0,0
14.4,0.6,-0.5,0.38751,0,0,0
14.6,0.6,-0.5,0.38329,0,0,0
14.8,0.6,-0.5,0.37919,0,0,0
15,0.6,-0.5,0.37521,0,0,0
15.2,0.6,-0.5,0.37135,0,0,0
15.4,0.6,-0.5,0.36762,0,0,0
15.6,0.6,-0.5,0.36402,0,0,0
15.8,0.6,-0.5,0.36055,0,0,0
16,0.6,-0.5,0.35723,0,0,0
16.2,0.6,-0.5,0.35404,0,0,0
16.4,0.6,-0.5,0.351,0,0,0
16.6,0.6,-0.5,0.3481,0,0,0
16.8,0.6,-0.5,0.34535,0,0,0
17,0.6,-0.5,0.34276,0,0,0
17.2,0.6,-0.5,0.34032,0,0,0
