"Points:0","Points:1","Points:2","T","U:0","U:1","U:2"
0,0,-0.5,0.81859,0,0,0
0.2,0,-0.5,0.81843,0,0,0
0.4,0,-0.5,0.81797,0,0,0
0.6,0,-0.5,0.81719,0,0,0
0.8,0,-0.5,0.81611,0,0,0
1,0,-0.5,0.81471,0,0,0
1.2,0,-0.5,0.81301,0,0,0
1.4,0,-0.5,0.811,0,0,0
1.6,0,-0.5,0.80869,0,0,0
1.8,0,-0.5,0.80608,0,0,0
2,0,-0.5,0.80316,0,0,0
2.2,0,-0.5,0.79995,0,0,0
2.4,0,-0.5,0.79645,0,0,0
2.6,0,-0.5,0.79265,0,0,0
2.8,0,-0.5,0.78856,0,0,0
3,0,-0.5,0.78419,0,0,0
3.2,0,-0.5,0.77955,0,0,0
3.4,0,-0.5,0.77462,0,0,0
3.6,0,-0.5,0.76942,0,0,0
3.8,0,-0.5,0.76396,0,0,0
4,0,-0.5,0.75824,0,0,0
4.2,0,-0.5,0.75226,0,0,0
4.4,0,-0.5,0.74603,0,0,0
4.6,0,-0.5,0.73956,0,0,0
4.8,0,-0.5,0.73284,0,0,0
5,0,-0.5,0.7259,0,0,0
5.2,0,-0.5,0.71873,0,0,0
5.4,0,-0.5,0.71134,0,0,0
5.6,0,-0.5,0.70374,0,0,0
5.8,0,-0.5,0.69594,0,0,0
6,0,-0.5,0.68794,0,0,0
6.2,0,-0.5,0.67975,0,0,0
6.4,0,-0.5,0.67138,0,0,0
6.6,0,-0.5,0.66283,0,0,0
6.8,0,-0.5,0.65413,0,0,0
7,0,-0.5,0.64527,0,0,0
7.2,0,-0.5,0.63626,0,0,0
7.4,0,-0.5,0.62711,0,0,0
7.6,0,-0.5,0.61784,0,0,0
7.8,0,-0.5,0.60844,0,0,0
8,0,-0.5,0.59894,0,0,0
8.2,0,-0.5,0.58933,0,0,0
8.4,0,-0.5,0.57964,0,0,0
8.6,0,-0.5,0.56986,0,0,0
8.8,0,-0.5,0.56001,0,0,0
9,0,-0.5,0.5501,0,0,0
9.2,0,-0.5,0.54015,0,0,0
9.4,0,-0.5,0.53015,0,0,0
9.6,0,-0.5,0.52012,0,0,0
9.8,0,-0.5,0.51006,0,0,0
10,0,-0.5,0.5,0,0,0
10.2,0,-0.5,0.48994,0,0,0
10.4,0,-0.5,0.47989,0,0,0
10.6,0,-0.5,0.46986,0,0,0
10.8,0,-0.5,0.45986,0,0,0
11,0,-0.5,0.4499,0,0,0
11.2,0,-0.5,0.43999,0,0,0
11.4,0,-0.5,0.43014,0,0,0
11.6,0,-0.5,0.42037,0,0,0
11.8,0,-0.5,0.41067,0,0,0
12,0,-0.5,0.40107,0,0,0
12.2,0,-0.5,0.39156,0,0,0
12.4,0,-0.5,0.38217,0,0,0
12.6,0,-0.5,0.37289,0,0,0
12.8,0,-0.5,0.36375,0,0,0
13,0,-0.5,0.35474,0,0,0
13.2,0,-0.5,0.34588,0,0,0
13.4,0,-0.5,0.33717,0,0,0
13.6,0,-0.5,0.32863,0,0,0
13.8,0,-0.5,0.32026,0,0,0
14,0,-0.5,0.31207,0,0,0
14.2,0,-0.5,0.30407,0,0,0
14.4,0,-0.5,0.29627,0,0,0
14.6,0,-0.5,0.28866,0,0,0
14.8,0,-0.5,0.28128,0,0,0
15,0,-0.5,0.27411,0,0,0
15.2,0,-0.5,0.26716,0,0,0
15.4,0,-0.5,0.26045,0,0,0
15.6,0,-0.5,0.25398,0,0,0
15.8,0,-0.5,0.24775,0,0,0
16,0,-0.5,0.24177,0,0,0
16.2,0,-0.5,0.23604,0,0,0
16.4,0,-0.5,0.23058,0,0,0
16.6,0,-0.5,0.22539,0,0,0
16.8,0,-0.5,0.22046,0,0,0
17,0,-0.5,0.21581,0,0,0
17.2,0,-0.5,0.21144,0,0,0
17.4,0,-0.5,0.20736,0,0,0
17.6,0,-0.5,0.20356,0,0,0
17.8,0,-0.5,0.20006,0,0,0
18,0,-0.5,0.19684,0,0,0
18.2,0,-0.5,0.19393,0,0,0
18.4,0,-0.5,0.19131,0,0,0
18.6,0,-0.5,0.189,0,0,0
18.8,0,-0.5,0.18699,0,0,0
19,0,-0.5,0.18529,0,0,0
19.2,0,-0.5,0.1839,0,0,0
19.4,0,-0.5,0.18281,0,0,0
19.6,0,-0.5,0.18204,0,0,0
19.8,0,-0.5,0.18157,0,0,0
20,0,-0.5,0.18142,0,0,0
0,0.2,-0.5,0.81859,0,0,0
0.2,0.2,-0.5,0.81843,0,0,0
0.4,0.2,-0.5,0.81797,0,0,0
0.6,0.2,-0.5,0.81719,0,0,0
0.8,0.2,-0.5,0.81611,0,0,0
1,0.2,-0.5,0.81471,0,0,0
1.2,0.2,-0.5,0.81301,0,0,0
1.4,0.2,-0.5,0.811,0,0,0
1.6,0.2,-0.5,0.80869,0,0,0
