"Points:0","Points:1","Points:2","T","U:0","U:1","U:2"
0,0,-0.5,0.92284,0,0,0
0.2,0,-0.5,0.92265,0,0,0
0.4,0,-0.5,0.9221,0,0,0
0.6,0,-0.5,0.92118,0,0,0
0.8,0,-0.5,0.91989,0,0,0
1,0,-0.5,0.91823,0,0,0
1.2,0,-0.5,0.9162,0,0,0
1.4,0,-0.5,0.91379,0,0,0
1.6,0,-0.5,0.91102,0,0,0
1.8,0,-0.5,0.90788,0,0,0
2,0,-0.5,0.90437,0,0,0
2.2,0,-0.5,0.90048,0,0,0
2.4,0,-0.5,0.89623,0,0,0
2.6,0,-0.5,0.8916,0,0,0
2.8,0,-0.5,0.8866,0,0,0
3,0,-0.5,0.88124,0,0,0
3.2,0,-0.5,0.8755,0,0,0
3.4,0,-0.5,0.8694,0,0,0
3.6,0,-0.5,0.86293,0,0,0
3.8,0,-0.5,0.8561,0,0,0
4,0,-0.5,0.84891,0,0,0
4.2,0,-0.5,0.84135,0,0,0
4.4,0,-0.5,0.83345,0,0,0
4.6,0,-0.5,0.82519,0,0,0
4.8,0,-0.5,0.81658,0,0,0
5,0,-0.5,0.80762,0,0,0
5.2,0,-0.5,0.79833,0,0,0
5.4,0,-0.5,0.78871,0,0,0
5.6,0,-0.5,0.77877,0,0,0
5.8,0,-0.5,0.76851,0,0,0
6,0,-0.5,0.75793,0,0,0
6.2,0,-0.5,0.74706,0,0,0
6.4,0,-0.5,0.7359,0,0,0
6.6,0,-0.5,0.72446,0,0,0
6.8,0,-0.5,0.71274,0,0,0
7,0,-0.5,0.70077,0,0,0
7.2,0,-0.5,0.68855,0,0,0
7.4,0,-0.5,0.6761,0,0,0
7.6,0,-0.5,0.66344,0,0,0
7.8,0,-0.5,0.65056,0,0,0
8,0,-0.5,0.6375,0,0,0
8.2,0,-0.5,0.62426,0,0,0
8.4,0,-0.5,0.61086,0,0,0
8.6,0,-0.5,0.59732,0,0,0
8.8,0,-0.5,0.58365,0,0,0
9,0,-0.5,0.56988,0,0,0
9.2,0,-0.5,0.55601,0,0,0
9.4,0,-0.5,0.54208,0,0,0
9.6,0,-0.5,0.52808,0,0,0
9.8,0,-0.5,0.51405,0,0,0
10,0,-0.5,0.5,0,0,0
10.2,0,-0.5,0.48595,0,0,0
10.4,0,-0.5,0.47192,0,0,0
10.6,0,-0.5,0.45793,0,0,0
10.8,0,-0.5,0.44399,0,0,0
11,0,-0.5,0.43013,0,0,0
11.2,0,-0.5,0.41635,0,0,0
11.4,0,-0.5,0.40268,0,0,0
11.6,0,-0.5,0.38914,0,0,0
11.8,0,-0.5,0.37575,0,0,0
12,0,-0.5,0.36251,0,0,0
12.2,0,-0.5,0.34944,0,0,0
12.4,0,-0.5,0.33657,0,0,0
12.6,0,-0.5,0.3239,0,0,0
12.8,0,-0.5,0.31145,0,0,0
13,0,-0.5,0.29923,0,0,0
13.2,0,-0.5,0.28726,0,0,0
13.4,0,-0.5,0.27555,0,0,0
13.6,0,-0.5,0.2641,0,0,0
13.8,0,-0.5,0.25294,0,0,0
14,0,-0.5,0.24207,0,0,0
14.2,0,-0.5,0.2315,0,0,0
14.4,0,-0.5,0.22123,0,0,0
14.6,0,-0.5,0.21129,0,0,0
14.8,0,-0.5,0.20167,0,0,0
15,0,-0.5,0.19238,0,0,0
15.2,0,-0.5,0.18343,0,0,0
15.4,0,-0.5,0.17482,0,0,0
15.6,0,-0.5,0.16656,0,0,0
15.8,0,-0.5,0.15865,0,0,0
16,0,-0.5,0.15109,0,0,0
