"Points:0","Points:1","Points:2","T","U:0","U:1","U:2"
0,0,-0.5,0.99957,0,0,0
0.2,0,-0.5,0.99956,0,0,0
0.4,0,-0.5,0.99952,0,0,0
0.6,0,-0.5,0.99944,0,0,0
0.8,0,-0.5,0.99934,0,0,0
1,0,-0.5,0.99919,0,0,0
1.2,0,-0.5,0.999,0,0,0
1.4,0,-0.5,0.99876,0,0,0
1.6,0,-0.5,0.99845,0,0,0
1.8,0,-0.5,0.99807,0,0,0
2,0,-0.5,0.9976,0,0,0
2.2,0,-0.5,0.99703,0,0,0
2.4,0,-0.5,0.99633,0,0,0
2.6,0,-0.5,0.99549,0,0,0
2.8,0,-0.5,0.99448,0,0,0
3,0,-0.5,0.99326,0,0,0
3.2,0,-0.5,0.99182,0,0,0
3.4,0,-0.5,0.99011,0,0,0
3.6,0,-0.5,0.98809,0,0,0
3.8,0,-0.5,0.98572,0,0,0
4,0,-0.5,0.98296,0,0,0
4.2,0,-0.5,0.97976,0,0,0
4.4,0,-0.5,0.97605,0,0,0
4.6,0,-0.5,0.97179,0,0,0
4.8,0,-0.5,0.96692,0,0,0
5,0,-0.5,0.96137,0,0,0
5.2,0,-0.5,0.95508,0,0,0
5.4,0,-0.5,0.94799,0,0,0
5.6,0,-0.5,0.94004,0,0,0
5.8,0,-0.5,0.93117,0,0,0
6,0,-0.5,0.92131,0,0,0
6.2,0,-0.5,0.91042,0,0,0
6.4,0,-0.5,0.89844,0,0,0
6.6,0,-0.5,0.88533,0,0,0
6.8,0,-0.5,0.87106,0,0,0
7,0,-0.5,0.8556,0,0,0
7.2,0,-0.5,0.83893,0,0,0
7.4,0,-0.5,0.82106,0,0,0
7.6,0,-0.5,0.80198,0,0,0
7.8,0,-0.5,0.78172,0,0,0
8,0,-0.5,0.76032,0,0,0
8.2,0,-0.5,0.73781,0,0,0
8.4,0,-0.5,0.71427,0,0,0
8.6,0,-0.5,0.68976,0,0,0
8.8,0,-0.5,0.66438,0,0,0
9,0,-0.5,0.63822,0,0,0
9.2,0,-0.5,0.6114,0,0,0
9.4,0,-0.5,0.58404,0,0,0
9.6,0,-0.5,0.55626,0,0,0
9.8,0,-0.5,0.52821,0,0,0
10,0,-0.5,0.50001,0,0,0
10.2,0,-0.5,0.47181,0,0,0
10.4,0,-0.5,0.44376,0,0,0
10.6,0,-0.5,0.41598,0,0,0
10.8,0,-0.5,0.38862,0,0,0
11,0,-0.5,0.36179,0,0,0
11.2,0,-0.5,0.33564,0,0,0
11.4,0,-0.5,0.31025,0,0,0
11.6,0,-0.5,0.28575,0,0,0
11.8,0,-0.5,0.2622,0,0,0
12,0,-0.5,0.23969,0,0,0
12.2,0,-0.5,0.21828,0,0,0
12.4,0,-0.5,0.19802,0,0,0
12.6,0,-0.5,0.17894,0,0,0
12.8,0,-0.5,0.16107,0,0,0
13,0,-0.5,0.1444,0,0,0
13.2,0,-0.5,0.12894,0,0,0
13.4,0,-0.5,0.11467,0,0,0
13.6,0,-0.5,0.10156,0,0,0
13.8,0,-0.5,0.089577,0,0,0
14,0,-0.5,0.078683,0,0,0
14.2,0,-0.5,0.068826,0,0,0
14.4,0,-0.5,0.059951,0,0,0
14.6,0,-0.5,0.052,0,0,0
14.8,0,-0.5,0.044911,0,0,0
15,0,-0.5,0.038624,0,0,0
15.2,0,-0.5,0.033074,0,0,0
15.4,0,-0.5,0.0282,0,0,0
15.6,0,-0.5,0.02394,0,0,0
15.8,0,-0.5,0.020235,0,0,0
16,0,-0.5,0.01703,0,0,0
16.2,0,-0.5,0.014269,0,0,0
16.4,0,-0.5,0.011904,0,0,0
16.6,0,-0.5,0.0098871,0,0,0
16.8,0,-0.5,0.0081762,0,0,0
17,0,-0.5,0.0067319,0,0,0
17.2,0,-0.5,0.0055187,0,0,0
17.4,0,-0.5,0.0045048,0,0,0
17.6,0,-0.5,0.003662,0,0,0
17.8,0,-0.5,0.0029651,0,0,0
18,0,-0.5,0.0023922,0,0,0
18.2,0,-0.5,0.0019241,0,0,0
18.4,0,-0.5,0.0015444,0,0,0
18.6,0,-0.5,0.0012392,0,0,0
18.8,0,-0.5,0.00099649,0,0,0
19,0,-0.5,0.0008066,0,0,0
19.2,0,-0.5,0.00066153,0,0,0
19.4,0,-0.5,0.00055499,0,0,0
19.6,0,-0.5,0.00048222,0,0,0
19.8,0,-0.5,0.0004399,0,0,0
20,0,-0.5,0.00042602,0,0,0
0,0.2,-0.5,0.99957,0,0,0
0.2,0.2,-0.5,0.99956,0,0,0
0.4,0.2,-0.5,0.99952,0,0,0
0.6,0.2,-0.5,0.99944,0,0,0
0.8,0.2,-0.5,0.99934,0,0,0
1,0.2,-0.5,0.99919,0,0,0
1.2,0.2,-0.5,0.999,0,0,0
1.4,0.2,-0.5,0.99876,0,0,0
1.6,0.2,-0.5,0.99845,0,0,0
1.8,0.2,-0.5,0.99807,0,0,0
2,0.2,-0.5,0.99761,0,0,0
2.2,0.2,-0.5,0.99703,0,0,0
2.4,0.2,-0.5,0.99634,0,0,0
2.6,0.2,-0.5,0.99549,0,0,0
2.8,0.2,-0.5,0.99448,0,0,0
3,0.2,-0.5,0.99326,0,0,0
3.2,0.2,-0.5,0.99182,0,0,0
3.4,0.2,-0.5,0.99011,0,0,0
3.6,0.2,-0.5,0.98809,0,0,0
3.8,0.2,-0.5,0.98572,0,0,0
4,0.2,-0.5,0.98296,0,0,0
4.2,0.2,-0.5,0.97976,0,0,0
4.4,0.2,-0.5,0.97605,0,0,0
4.6,0.2,-0.5,0.97179,0,0,0
4.8,0.2,-0.5,0.96692,0,0,0
5,0.2,-0.5,0.96137,0,0,0
5.2,0.2,-0.5,0.95508,0,0,0
5.4,0.2,-0.5,0.94799,0,0,0
5.6,0.2,-0.5,0.94004,0,0,0
5.8,0.2,-0.5,0.93117,0,0,0
6,0.2,-0.5,0.92131,0,0,0
6.2,0.2,-0.5,0.91042,0,0,0
6.4,0.2,-0.5,0.89844,0,0,0
6.6,0.2,-0.5,0.88533,0,0,0
6.8,0.2,-0.5,0.87106,0,0,0
7,0.2,-0.5,0.8556,0,0,0
7.2,0.2,-0.5,0.83894,0,0,0
7.4,0.2,-0.5,0.82106,0,0,0
7.6,0.2,-0.5,0.80198,0,0,0
7.8,0.2,-0.5,0.78173,0,0,0
8,0.2,-0.5,0.76032,0,0,0
8.2,0.2,-0.5,0.73781,0,0,0
8.4,0.2,-0.5,0.71427,0,0,0
8.6,0.2,-0.5,0.68976,0,0,0
8.8,0.2,-0.5,0.66438,0,0,0
9,0.2,-0.5,0.63822,0,0,0
9.2,0.2,-0.5,0.6114,0,0,0
9.4,0.2,-0.5,0.58404,0,0,0
9.6,0.2,-0.5,0.55626,0,0,0
9.8,0.2,-0.5,0.52821,0,0,0
10,0.2,-0.5,0.50001,0,0,0
10.2,0.2,-0.5,0.47181,0,0,0
10.4,0.2,-0.5,0.44376,0,0,0
10.6,0.2,-0.5,0.41598,0,0,0
10.8,0.2,-0.5,0.38861,0,0,0
11,0.2,-0.5,0.36179,0,0,0
11.2,0.2,-0.5,0.33563,0,0,0
11.4,0.2,-0.5,0.31025,0,0,0
11.6,0.2,-0.5,0.28574,0,0,0
11.8,0.2,-0.5,0.2622,0,0,0
12,0.2,-0.5,0.23969,0,0,0
12.2,0.2,-0.5,0.21828,0,0,0
12.4,0.2,-0.5,0.19802,0,0,0
12.6,0.2,-0.5,0.17894,0,0,0
12.8,0.2,-0.5,0.16106,0,0,0
13,0.2,-0.5,0.1444,0,0,0
13.2,0.2,-0.5,0.12893,0,0,0
13.4,0.2,-0.5,0.11466,0,0,0
13.6,0.2,-0.5,0.10155,0,0,0
13.8,0.2,-0.5,0.089574,0,0,0
14,0.2,-0.5,0.07868,0,0,0
14.2,0.2,-0.5,0.068823,0,0,0
14.4,0.2,-0.5,0.059948,0,0,0
14.6,0.2,-0.5,0.051997,0,0,0
14.8,0.2,-0.5,0.044909,0,0,0
15,0.2,-0.5,0.038622,0,0,0
15.2,0.2,-0.5,0.033072,0,0,0
15.4,0.2,-0.5,0.028198,0,0,0
15.6,0.2,-0.5,0.023939,0,0,0
15.8,0.2,-0.5,0.020234,0,0,0
16,0.2,-0.5,0.017028,0,0,0
16.2,0.2,-0.5,0.014268,0,0,0
16.4,0.2,-0.5,0.011903,0,0,0
16.6,0.2,-0.5,0.0098863,0,0,0
16.8,0.2,-0.5,0.0081755,0,0,0
17,0.2,-0.5,0.0067313,0,0,0
17.2,0.2,-0.5,0.0055182,0,0,0
17.4,0.2,-0.5,0.0045044,0,0,0
17.6,0.2,-0.5,0.0036616,0,0,0
17.8,0.2,-0.5,0.0029648,0,0,0
18,0.2,-0.5,0.0023919,0,0,0
18.2,0.2,-0.5,0.0019239,0,0,0
18.4,0.2,-0.5,0.0015442,0,0,0
18.6,0.2,-0.5,0.001239,0,0,0
18.8,0.2,-0.5,0.00099636,0,0,0
19,0.2,-0.5,0.00080648,0,0,0
19.2,0.2,-0.5,0.00066143,0,0,0
19.4,0.2,-0.5,0.0005549,0,0,0
19.6,0.2,-0.5,0.00048215,0,0,0
19.8,0.2,-0.5,0.00043985,0,0,0
20,0.2,-0.5,0.00042598,0,0,0
0,0.4,-0.5,0.99957,0,0,0
0.2,0.4,-0.5,0.99956,0,0,0
