"Points:0","Points:1","Points:2","T","U:0","U:1","U:2"
4.6,1,-0.5,0.71693,0,0,0
4.8,1,-0.5,0.71083,0,0,0
5,1,-0.5,0.70453,0,0,0
5.2,1,-0.5,0.69802,0,0,0
5.4,1,-0.5,0.69131,0,0,0
5.6,1,-0.5,0.68441,0,0,0
5.8,1,-0.5,0.67734,0,0,0
6,1,-0.5,0.67008,0,0,0
6.2,1,-0.5,0.66265,0,0,0
6.4,1,-0.5,0.65507,0,0,0
6.6,1,-0.5,0.64733,0,0,0
6.8,1,-0.5,0.63944,0,0,0
7,1,-0.5,0.63141,0,0,0
7.2,1,-0.5,0.62325,0,0,0
7.4,1,-0.5,0.61497,0,0,0
7.6,1,-0.5,0.60658,0,0,0
7.8,1,-0.5,0.59807,0,0,0
8,1,-0.5,0.58947,0,0,0
8.2,1,-0.5,0.58078,0,0,0
8.4,1,-0.5,0.57201,0,0,0
8.6,1,-0.5,0.56317,0,0,0
8.8,1,-0.5,0.55426,0,0,0
9,1,-0.5,0.5453,0,0,0
9.2,1,-0.5,0.5363,0,0,0
9.4,1,-0.5,0.52725,0,0,0
9.6,1,-0.5,0.51819,0,0,0
9.8,1,-0.5,0.5091,0,0,0
10,1,-0.5,0.5,0,0,0
10.2,1,-0.5,0.49091,0,0,0
10.4,1,-0.5,0.48182,0,0,0
10.6,1,-0.5,0.47275,0,0,0
10.8,1,-0.5,0.46371,0,0,0
11,1,-0.5,0.4547,0,0,0
11.2,1,-0.5,0.44574,0,0,0
11.4,1,-0.5,0.43684,0,0,0
11.6,1,-0.5,0.42799,0,0,0
11.8,1,-0.5,0.41922,0,0,0
12,1,-0.5,0.41053,0,0,0
12.2,1,-0.5,0.40193,0,0,0
12.4,1,-0.5,0.39343,0,0,0
12.6,1,-0.5,0.38503,0,0,0
12.8,1,-0.5,0.37675,0,0,0
13,1,-0.5,0.36859,0,0,0
13.2,1,-0.5,0.36057,0,0,0
13.4,1,-0.5,0.35268,0,0,0
13.6,1,-0.5,0.34494,0,0,0
13.8,1,-0.5,0.33735,0,0,0
14,1,-0.5,0.32993,0,0,0
14.2,1,-0.5,0.32267,0,0,0
14.4,1,-0.5,0.31559,0,0,0
14.6,1,-0.5,0.30869,0,0,0
14.8,1,-0.5,0.30199,0,0,0
15,1,-0.5,0.29548,0,0,0
15.2,1,-0.5,0.28917,0,0,0
15.4,1,-0.5,0.28307,0,0,0
15.6,1,-0.5,0.27719,0,0,0
15.8,1,-0.5,0.27153,0,0,0
16,1,-0.5,0.26609,0,0,0
16.2,1,-0.5,0.26089,0,0,0
16.4,1,-0.5,0.25592,0,0,0
16.6,1,-0.5,0.25119,0,0,0
16.8,1,-0.5,0.24671,0,0,0
17,1,-0.5,0.24248,0,0,0
17.2,1,-0.5,0.2385,0,0,0
17.4,1,-0.5,0.23478,0,0,0
17.6,1,-0.5,0.23132,0,0,0
17.8,1,-0.5,0.22813,0,0,0
18,1,-0.5,0.2252,0,0,0
18.2,1,-0.5,0.22255,0,0,0
18.4,1,-0.5,0.22016,0,0,0
18.6,1,-0.5,0.21805,0,0,0
18.8,1,-0.5,0.21622,0,0,0
19,1,-0.5,0.21467,0,0,0
19.2,1,-0.5,0.2134,0,0,0
19.4,1,-0.5,0.21241,0,0,0
19.6,1,-0.5,0.21171,0,0,0
19.8,1,-0.5,0.21128,0,0,0
