"Points:0","Points:1","Points:2","T","U:0","U:1","U:2"
0,0,-0.5,0.73724,0,0,0
0.2,0,-0.5,0.73712,0,0,0
0.4,0,-0.5,0.73677,0,0,0
0.6,0,-0.5,0.73619,0,0,0
0.8,0,-0.5,0.73537,0,0,0
1,0,-0.5,0.73432,0,0,0
1.2,0,-0.5,0.73305,0,0,0
1.4,0,-0.5,0.73154,0,0,0
1.6,0,-0.5,0.7298,0,0,0
1.8,0,-0.5,0.72784,0,0,0
2,0,-0.5,0.72565,0,0,0
2.2,0,-0.5,0.72324,0,0,0
2.4,0,-0.5,0.7206,0,0,0
2.6,0,-0.5,0.71776,0,0,0
2.8,0,-0.5,0.71469,0,0,0
3,0,-0.5,0.71142,0,0,0
3.2,0,-0.5,0.70793,0,0,0
3.4,0,-0.5,0.70424,0,0,0
3.6,0,-0.5,0.70035,0,0,0
3.8,0,-0.5,0.69626,0,0,0
4,0,-0.5,0.69198,0,0,0
4.2,0,-0.5,0.68751,0,0,0
4.4,0,-0.5,0.68285,0,0,0
4.6,0,-0.5,0.67801,0,0,0
4.8,0,-0.5,0.673,0,0,0
5,0,-0.5,0.66781,0,0,0
5.2,0,-0.5,0.66246,0,0,0
5.4,0,-0.5,0.65695,0,0,0
5.6,0,-0.5,0.65128,0,0,0
5.8,0,-0.5,0.64547,0,0,0
6,0,-0.5,0.63951,0,0,0
6.2,0,-0.5,0.63341,0,0,0
6.4,0,-0.5,0.62718,0,0,0
6.6,0,-0.5,0.62082,0,0,0
6.8,0,-0.5,0.61435,0,0,0
7,0,-0.5,0.60776,0,0,0
7.2,0,-0.5,0.60107,0,0,0
7.4,0,-0.5,0.59427,0,0,0
7.6,0,-0.5,0.58738,0,0,0
7.8,0,-0.5,0.58041,0,0,0
8,0,-0.5,0.57335,0,0,0
8.2,0,-0.5,0.56623,0,0,0
8.4,0,-0.5,0.55904,0,0,0
8.6,0,-0.5,0.55178,0,0,0
8.8,0,-0.5,0.54448,0,0,0
9,0,-0.5,0.53714,0,0,0
9.2,0,-0.5,0.52975,0,0,0
9.4,0,-0.5,0.52234,0,0,0
9.6,0,-0.5,0.51491,0,0,0
9.8,0,-0.5,0.50746,0,0,0
10,0,-0.5,0.5,0,0,0
10.2,0,-0.5,0.49255,0,0,0
10.4,0,-0.5,0.4851,0,0,0
10.6,0,-0.5,0.47766,0,0,0
10.8,0,-0.5,0.47025,0,0,0
11,0,-0.5,0.46287,0,0,0
11.2,0,-0.5,0.45552,0,0,0
11.4,0,-0.5,0.44822,0,0,0
11.6,0,-0.5,0.44097,0,0,0
11.8,0,-0.5,0.43378,0,0,0
12,0,-0.5,0.42665,0,0,0
12.2,0,-0.5,0.4196,0,0,0
12.4,0,-0.5,0.41262,0,0,0
12.6,0,-0.5,0.40574,0,0,0
12.8,0,-0.5,0.39894,0,0,0
13,0,-0.5,0.39225,0,0,0
13.2,0,-0.5,0.38566,0,0,0
13.4,0,-0.5,0.37918,0,0,0
13.6,0,-0.5,0.37283,0,0,0
13.8,0,-0.5,0.3666,0,0,0
14,0,-0.5,0.3605,0,0,0
