"Points:0","Points:1","Points:2","T","U:0","U:1","U:2"
0,0,-0.5,0.61892,0,0,0
0.2,0,-0.5,0.61886,0,0,0
0.4,0,-0.5,0.61868,0,0,0
0.6,0,-0.5,0.61839,0,0,0
0.8,0,-0.5,0.61798,0,0,0
1,0,-0.5,0.61746,0,0,0
1.2,0,-0.5,0.61681,0,0,0
1.4,0,-0.5,0.61606,0,0,0
1.6,0,-0.5,0.61519,0,0,0
1.8,0,-0.5,0.6142,0,0,0
2,0,-0.5,0.6131,0,0,0
2.2,0,-0.5,0.61189,0,0,0
2.4,0,-0.5,0.61057,0,0,0
2.6,0,-0.5,0.60914,0,0,0
2.8,0,-0.5,0.60761,0,0,0
3,0,-0.5,0.60596,0,0,0
3.2,0,-0.5,0.60422,0,0,0
3.4,0,-0.5,0.60237,0,0,0
3.6,0,-0.5,0.60041,0,0,0
3.8,0,-0.5,0.59836,0,0,0
4,0,-0.5,0.59621,0,0,0
4.2,0,-0.5,0.59397,0,0,0
4.4,0,-0.5,0.59164,0,0,0
4.6,0,-0.5,0.58921,0,0,0
4.8,0,-0.5,0.5867,0,0,0
5,0,-0.5,0.5841,0,0,0
5.2,0,-0.5,0.58141,0,0,0
5.4,0,-0.5,0.57865,0,0,0
5.6,0,-0.5,0.57581,0,0,0
5.8,0,-0.5,0.57289,0,0,0
6,0,-0.5,0.56991,0,0,0
6.2,0,-0.5,0.56685,0,0,0
6.4,0,-0.5,0.56373,0,0,0
6.6,0,-0.5,0.56054,0,0,0
6.8,0,-0.5,0.5573,0,0,0
7,0,-0.5,0.554,0,0,0
7.2,0,-0.5,0.55064,0,0,0
7.4,0,-0.5,0.54724,0,0,0
7.6,0,-0.5,0.54378,0,0,0
7.8,0,-0.5,0.54029,0,0,0
8,0,-0.5,0.53675,0,0,0
8.2,0,-0.5,0.53318,0,0,0
8.4,0,-0.5,0.52958,0,0,0
8.6,0,-0.5,0.52595,0,0,0
8.8,0,-0.5,0.52229,0,0,0
