"Points:0","Points:1","Points:2","T","U:0","U:1","U:2"
0,0,-0.5,0.71496,0,0,0
0.2,0,-0.5,0.71485,0,0,0
0.4,0,-0.5,0.71454,0,0,0
0.6,0,-0.5,0.71401,0,0,0
0.8,0,-0.5,0.71327,0,0,0
1,0,-0.5,0.71232,0,0,0
1.2,0,-0.5,0.71116,0,0,0
1.4,0,-0.5,0.70979,0,0,0
1.6,0,-0.5,0.70822,0,0,0
1.8,0,-0.5,0.70644,0,0,0
2,0,-0.5,0.70445,0,0,0
2.2,0,-0.5,0.70227,0,0,0
2.4,0,-0.5,0.69988,0,0,0
2.6,0,-0.5,0.6973,0,0,0
2.8,0,-0.5,0.69452,0,0,0
3,0,-0.5,0.69155,0,0,0
3.2,0,-0.5,0.68839,0,0,0
3.4,0,-0.5,0.68505,0,0,0
3.6,0,-0.5,0.68152,0,0,0
3.8,0,-0.5,0.67782,0,0,0
4,0,-0.5,0.67393,0,0,0
4.2,0,-0.5,0.66988,0,0,0
4.4,0,-0.5,0.66566,0,0,0
4.6,0,-0.5,0.66127,0,0,0
4.8,0,-0.5,0.65673,0,0,0
5,0,-0.5,0.65203,0,0,0
5.2,0,-0.5,0.64718,0,0,0
5.4,0,-0.5,0.64219,0,0,0
5.6,0,-0.5,0.63705,0,0,0
5.8,0,-0.5,0.63178,0,0,0
6,0,-0.5,0.62638,0,0,0
6.2,0,-0.5,0.62086,0,0,0
6.4,0,-0.5,0.61521,0,0,0
6.6,0,-0.5,0.60945,0,0,0
6.8,0,-0.5,0.60359,0,0,0
7,0,-0.5,0.59762,0,0,0
7.2,0,-0.5,0.59155,0,0,0
7.4,0,-0.5,0.5854,0,0,0
7.6,0,-0.5,0.57916,0,0,0
7.8,0,-0.5,0.57284,0,0,0
8,0,-0.5,0.56645,0,0,0
8.2,0,-0.5,0.55999,0,0,0
8.4,0,-0.5,0.55348,0,0,0
8.6,0,-0.5,0.54691,0,0,0
8.8,0,-0.5,0.5403,0,0,0
9,0,-0.5,0.53364,0,0,0
9.2,0,-0.5,0.52695,0,0,0
9.4,0,-0.5,0.52024,0,0,0
9.6,0,-0.5,0.5135,0,0,0
9.8,0,-0.5,0.50676,0,0,0
10,0,-0.5,0.5,0,0,0
10.2,0,-0.5,0.49325,0,0,0
10.4,0,-0.5,0.4865,0,0,0
10.6,0,-0.5,0.47977,0,0,0
10.8,0,-0.5,0.47305,0,0,0
11,0,-0.5,0.46636,0,0,0
11.2,0,-0.5,0.45971,0,0,0
11.4,0,-0.5,0.4531,0,0,0
11.6,0,-0.5,0.44653,0,0,0
11.8,0,-0.5,0.44001,0,0,0
12,0,-0.5,0.43356,0,0,0
12.2,0,-0.5,0.42717,0,0,0
12.4,0,-0.5,0.42085,0,0,0
12.6,0,-0.5,0.41461,0,0,0
12.8,0,-0.5,0.40845,0,0,0
13,0,-0.5,0.40239,0,0,0
13.2,0,-0.5,0.39642,0,0,0
13.4,0,-0.5,0.39055,0,0,0
13.6,0,-0.5,0.38479,0,0,0
13.8,0,-0.5,0.37915,0,0,0
14,0,-0.5,0.37362,0,0,0
14.2,0,-0.5,0.36822,0,0,0
14.4,0,-0.5,0.36295,0,0,0
14.6,0,-0.5,0.35782,0,0,0
14.8,0,-0.5,0.35282,0,0,0
15,0,-0.5,0.34798,0,0,0
15.2,0,-0.5,0.34328,0,0,0
15.4,0,-0.5,0.33873,0,0,0
15.6,0,-0.5,0.33435,0,0,0
15.8,0,-0.5,0.33013,0,0,0
16,0,-0.5,0.32607,0,0,0
16.2,0,-0.5,0.32219,0,0,0
16.4,0,-0.5,0.31849,0,0,0
16.6,0,-0.5,0.31496,0,0,0
16.8,0,-0.5,0.31161,0,0,0
17,0,-0.5,0.30846,0,0,0
17.2,0,-0.5,0.30549,0,0,0
17.4,0,-0.5,0.30271,0,0,0
17.6,0,-0.5,0.30013,0,0,0
17.8,0,-0.5,0.29774,0,0,0
18,0,-0.5,0.29556,0,0,0
18.2,0,-0.5,0.29357,0,0,0
18.4,0,-0.5,0.29179,0,0,0
18.6,0,-0.5,0.29022,0,0,0
18.8,0,-0.5,0.28885,0,0,0
19,0,-0.5,0.28769,0,0,0
19.2,0,-0.5,0.28674,0,0,0
19.4,0,-0.5,0.286,0,0,0
19.6,0,-0.5,0.28547,0,0,0
19.8,0,-0.5,0.28515,0,0,0
20,0,-0.5,0.28505,0,0,0
0,0.2,-0.5,0.71496,0,0,0
0.2,0.2,-0.5,0.71485,0,0,0
0.4,0.2,-0.5,0.71454,0,0,0
0.6,0.2,-0.5,0.71401,0,0,0
0.8,0.2,-0.5,0.71327,0,0,0
1,0.2,-0.5,0.71232,0,0,0
1.2,0.2,-0.5,0.71116,0,0,0
1.4,0.2,-0.5,0.70979,0,0,0
1.6,0.2,-0.5,0.70822,0,0,0
1.8,0.2,-0.5,0.70644,0,0,0
2,0.2,-0.5,0.70445,0,0,0
2.2,0.2,-0.5,0.70227,0,0,0
2.4,0.2,-0.5,0.69988,0,0,0
2.6,0.2,-0.5,0.6973,0,0,0
2.8,0.2,-0.5,0.69452,0,0,0
3,0.2,-0.5,0.69155,0,0,0
3.2,0.2,-0.5,0.68839,0,0,0
3.4,0.2,-0.5,0.68505,0,0,0
3.6,0.2,-0.5,0.68152,0,0,0
3.8,0.2,-0.5,0.67782,0,0,0
4,0.2,-0.5,0.67393,0,0,0
4.2,0.2,-0.5,0.66988,0,0,0
4.4,0.2,-0.5,0.66566,0,0,0
4.6,0.2,-0.5,0.66127,0,0,0
4.8,0.2,-0.5,0.65673,0,0,0
5,0.2,-0.5,0.65203,0,0,0
5.2,0.2,-0.5,0.64718,0,0,0
5.4,0.2,-0.5,0.64219,0,0,0
5.6,0.2,-0.5,0.63705,0,0,0
