"Points:0","Points:1","Points:2","T","U:0","U:1","U:2"
0,0,-0.5,0.60774,0,0,0
0.2,0,-0.5,0.60769,0,0,0
0.4,0,-0.5,0.60753,0,0,0
0.6,0,-0.5,0.60727,0,0,0
0.8,0,-0.5,0.6069,0,0,0
1,0,-0.5,0.60642,0,0,0
1.2,0,-0.5,0.60584,0,0,0
1.4,0,-0.5,0.60515,0,0,0
1.6,0,-0.5,0.60436,0,0,0
1.8,0,-0.5,0.60347,0,0,0
2,0,-0.5,0.60247,0,0,0
2.2,0,-0.5,0.60138,0,0,0
2.4,0,-0.5,0.60018,0,0,0
2.6,0,-0.5,0.59889,0,0,0
2.8,0,-0.5,0.5975,0,0,0
3,0,-0.5,0.59601,0,0,0
3.2,0,-0.5,0.59442,0,0,0
3.4,0,-0.5,0.59275,0,0,0
3.6,0,-0.5,0.59098,0,0,0
3.8,0,-0.5,0.58912,0,0,0
4,0,-0.5,0.58717,0,0,0
4.2,0,-0.5,0.58514,0,0,0
4.4,0,-0.5,0.58303,0,0,0
4.6,0,-0.5,0.58083,0,0,0
4.8,0,-0.5,0.57855,0,0,0
5,0,-0.5,0.57619,0,0,0
5.2,0,-0.5,0.57376,0,0,0
5.4,0,-0.5,0.57126,0,0,0
5.6,0,-0.5,0.56869,0,0,0
5.8,0,-0.5,0.56604,0,0,0
6,0,-0.5,0.56334,0,0,0
6.2,0,-0.5,0.56057,0,0,0
6.4,0,-0.5,0.55774,0,0,0
6.6,0,-0.5,0.55485,0,0,0
6.8,0,-0.5,0.55191,0,0,0
7,0,-0.5,0.54892,0,0,0
7.2,0,-0.5,0.54588,0,0,0
7.4,0,-0.5,0.5428,0,0,0
7.6,0,-0.5,0.53967,0,0,0
7.8,0,-0.5,0.5365,0,0,0
8,0,-0.5,0.5333,0,0,0
8.2,0,-0.5,0.53007,0,0,0
8.4,0,-0.5,0.5268,0,0,0
8.6,0,-0.5,0.52351,0,0,0
8.8,0,-0.5,0.52019,0,0,0
9,0,-0.5,0.51686,0,0,0
9.2,0,-0.5,0.51351,0,0,0
9.4,0,-0.5,0.51014,0,0,0
9.6,0,-0.5,0.50677,0,0,0
9.8,0,-0.5,0.50339,0,0,0
10,0,-0.5,0.5,0,0,0
10.2,0,-0.5,0.49662,0,0,0
10.4,0,-0.5,0.49324,0,0,0
10.6,0,-0.5,0.48986,0,0,0
10.8,0,-0.5,0.4865,0,0,0
11,0,-0.5,0.48315,0,0,0
11.2,0,-0.5,0.47981,0,0,0
11.4,0,-0.5,0.4765,0,0,0
11.6,0,-0.5,0.47321,0,0,0
11.8,0,-0.5,0.46994,0,0,0
12,0,-0.5,0.46671,0,0,0
12.2,0,-0.5,0.4635,0,0,0
12.4,0,-0.5,0.46034,0,0,0
12.6,0,-0.5,0.45721,0,0,0
12.8,0,-0.5,0.45413,0,0,0
13,0,-0.5,0.45109,0,0,0
13.2,0,-0.5,0.44809,0,0,0
13.4,0,-0.5,0.44515,0,0,0
13.6,0,-0.5,0.44227,0,0,0
13.8,0,-0.5,0.43944,0,0,0
14,0,-0.5,0.43667,0,0,0
14.2,0,-0.5,0.43396,0,0,0
14.4,0,-0.5,0.43132,0,0,0
