"Points:0","Points:1","Points:2","T","U:0","U:1","U:2"
0,0,-0.5,0.69477,0,0,0
0.2,0,-0.5,0.69467,0,0,0
0.4,0,-0.5,0.69438,0,0,0
0.6,0,-0.5,0.6939,0,0,0
0.8,0,-0.5,0.69323,0,0,0
1,0,-0.5,0.69237,0,0,0
1.2,0,-0.5,0.69132,0,0,0
1.4,0,-0.5,0.69008,0,0,0
1.6,0,-0.5,0.68866,0,0,0
1.8,0,-0.5,0.68704,0,0,0
2,0,-0.5,0.68524,0,0,0
2.2,0,-0.5,0.68326,0,0,0
2.4,0,-0.5,0.6811,0,0,0
2.6,0,-0.5,0.67876,0,0,0
2.8,0,-0.5,0.67624,0,0,0
3,0,-0.5,0.67355,0,0,0
3.2,0,-0.5,0.67069,0,0,0
3.4,0,-0.5,0.66766,0,0,0
3.6,0,-0.5,0.66446,0,0,0
3.8,0,-0.5,0.66111,0,0,0
4,0,-0.5,0.65759,0,0,0
4.2,0,-0.5,0.65391,0,0,0
4.4,0,-0.5,0.65009,0,0,0
4.6,0,-0.5,0.64612,0,0,0
4.8,0,-0.5,0.642,0,0,0
5,0,-0.5,0.63774,0,0,0
5.2,0,-0.5,0.63335,0,0,0
5.4,0,-0.5,0.62882,0,0,0
5.6,0,-0.5,0.62417,0,0,0
5.8,0,-0.5,0.61939,0,0,0
6,0,-0.5,0.6145,0,0,0
6.2,0,-0.5,0.60949,0,0,0
6.4,0,-0.5,0.60438,0,0,0
6.6,0,-0.5,0.59916,0,0,0
6.8,0,-0.5,0.59385,0,0,0
7,0,-0.5,0.58844,0,0,0
7.2,0,-0.5,0.58294,0,0,0
7.4,0,-0.5,0.57737,0,0,0
7.6,0,-0.5,0.57171,0,0,0
7.8,0,-0.5,0.56599,0,0,0
8,0,-0.5,0.5602,0,0,0
8.2,0,-0.5,0.55435,0,0,0
8.4,0,-0.5,0.54845,0,0,0
8.6,0,-0.5,0.5425,0,0,0
8.8,0,-0.5,0.53651,0,0,0
9,0,-0.5,0.53048,0,0,0
9.2,0,-0.5,0.52442,0,0,0
9.4,0,-0.5,0.51834,0,0,0
9.6,0,-0.5,0.51224,0,0,0
9.8,0,-0.5,0.50612,0,0,0
10,0,-0.5,0.5,0,0,0
10.2,0,-0.5,0.49388,0,0,0
10.4,0,-0.5,0.48777,0,0,0
10.6,0,-0.5,0.48167,0,0,0
10.8,0,-0.5,0.47559,0,0,0
11,0,-0.5,0.46953,0,0,0
11.2,0,-0.5,0.4635,0,0,0
11.4,0,-0.5,0.45751,0,0,0
11.6,0,-0.5,0.45156,0,0,0
11.8,0,-0.5,0.44565,0,0,0
12,0,-0.5,0.43981,0,0,0
12.2,0,-0.5,0.43402,0,0,0
12.4,0,-0.5,0.42829,0,0,0
12.6,0,-0.5,0.42264,0,0,0
12.8,0,-0.5,0.41706,0,0,0
13,0,-0.5,0.41157,0,0,0
13.2,0,-0.5,0.40616,0,0,0
13.4,0,-0.5,0.40084,0,0,0
13.6,0,-0.5,0.39563,0,0,0
13.8,0,-0.5,0.39051,0,0,0
14,0,-0.5,0.38551,0,0,0
14.2,0,-0.5,0.38061,0,0,0
14.4,0,-0.5,0.37584,0,0,0
14.6,0,-0.5,0.37119,0,0,0
14.8,0,-0.5,0.36666,0,0,0
15,0,-0.5,0.36227,0,0,0
15.2,0,-0.5,0.35801,0,0,0
15.4,0,-0.5,0.35389,0,0,0
15.6,0,-0.5,0.34992,0,0,0
15.8,0,-0.5,0.34609,0,0,0
16,0,-0.5,0.34242,0,0,0
16.2,0,-0.5,0.3389,0,0,0
16.4,0,-0.5,0.33554,0,0,0
16.6,0,-0.5,0.33235,0,0,0
16.8,0,-0.5,0.32932,0,0,0
17,0,-0.5,0.32645,0,0,0
17.2,0,-0.5,0.32376,0,0,0
17.4,0,-0.5,0.32125,0,0,0
17.6,0,-0.5,0.31891,0,0,0
